ID,AGE_YEARS,AGE_MONTHS,nlang,multilingual,FR_native,all_languages,L1_AoA,L2_AoA,L3_AoA,L4_AoA,L5_AoA,L6_AoA,L7_AoA,L8_AoA,L9_AoA,L1_proficiency,L2_proficiency,L3_proficiency,L4_proficiency,L5_proficiency,L6_proficiency,L7_proficiency,L8_proficiency,L9_proficiency
M10910,33.25,399,2,1,0,"['Portugais ', 'Français ']",0.0,11.3,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,
M10924,21.25,255,9,1,0,"['thaïe ', 'laotien', 'anglais ', 'français', 'allemand', 'latin', 'italien ', 'suisse allemand ', 'polonais']",11.0,1.0,5.0,16.0,12.0,8.0,19.0,18.0,13.0,10.0,8.666666666666666,6.0,7.666666666666667,7.0,4.666666666666667,1.0,2.0,2.3333333333333335
M10919,29.416666666666668,353,3,1,0,"['Russe', 'Anglais (British)', 'Français (de France)']",0.0,24.1,6.0,,,,,,,10.0,8.333333333333334,8.333333333333334,,,,,,
M10930,21.083333333333332,253,6,1,0,"['Portugais', 'Français ', 'Allemand ', 'Italien', 'Anglais', 'Espagnol']",3.0,0.0,12.0,19.0,8.0,9.0,,,,8.333333333333334,7.0,6.333333333333333,5.0,5.333333333333333,2.0,,,
M10914,23.25,279,5,1,0,"['Roumain', 'Anglais', 'Français', 'Allemand', 'Italien']",0.0,12.0,10.0,14.0,22.0,,,,,9.0,7.0,7.666666666666667,2.3333333333333335,2.0,,,,
M10928,20.666666666666668,248,2,1,0,"['Portugais ', 'Français']",3.0,0.0,,,,,,,,10.0,7.0,,,,,,,
M10931,22.25,267,3,1,0,"['Portugais', 'Français suisse', 'Anglais']",8.0,0.0,6.0,,,,,,,10.0,9.333333333333334,7.666666666666667,,,,,,
M10917,20.833333333333332,250,5,1,0,"['Russe', 'Français', 'Allemand', 'Anglais', 'Espagnol']",9.0,0.1,12.0,9.0,17.1,,,,,7.0,7.333333333333333,3.3333333333333335,4.0,0.3333333333333333,,,,
M10939,22.0,264,4,1,0,"['tagalog', 'français', 'allemand ', 'bicol']",1.0,1.0,9.0,7.0,,,,,,7.333333333333333,4.666666666666667,4.333333333333333,2.6666666666666665,,,,,
M10920,18.166666666666668,218,5,1,0,"['Russe', 'Français', 'Anglais', 'Italien', 'Japonais']",0.5,4.0,7.0,15.0,15.0,,,,,10.0,10.0,10.0,6.666666666666667,7.0,,,,
M10936,19.166666666666668,230,4,1,0,"['russe', 'francais', 'allemand', 'anglais']",2.0,9.0,2.0,4.0,,,,,,10.0,9.0,4.333333333333333,6.333333333333333,,,,,
M10913,19.25,231,5,1,0,"['Portugais ', 'Français ', 'Allemand ', 'Anglais ', 'Latin ']",2.0,1.0,9.0,12.0,13.0,,,,,10.0,9.333333333333334,7.0,6.333333333333333,7.333333333333333,,,,
M10922,20.666666666666668,248,3,1,0,"['Serb', 'Anglais ', 'Français Suisse']",8.0,0.1,10.0,,,,,,,10.0,9.666666666666666,8.0,,,,,,
M10909,23.333333333333332,280,4,1,0,"['Portugais', 'Anglais', 'Français', 'Allemand']",3.0,7.0,0.0,12.0,,,,,,10.0,10.0,10.0,7.333333333333333,,,,,
M10923,24.5,294,8,1,0,"['Tagalog', 'Italien', 'Ilocano', 'Anglais', 'Français', 'Allemand', 'Latin', 'Espagnol']",1.0,6.0,8.0,5.0,3.0,15.0,9.0,11.0,,10.0,7.666666666666667,8.0,4.0,5.666666666666667,2.0,1.0,0.0,
M10911,41.333333333333336,496,3,1,0,"['portugais', 'anglais', 'français']",0.0,36.0,7.0,,,,,,,10.0,8.0,7.333333333333333,,,,,,
M10915,20.666666666666668,248,3,1,0,"['Roumain ', 'Anglais', 'Français']",10.1,6.0,0.5,,,,,,,9.666666666666666,8.0,7.333333333333333,,,,,,
M10926,25.75,309,6,1,0,"['Ukrainien', 'Russe', 'Portugais', 'Anglais', 'Français', 'Espagnol']",8.0,0.0,15.0,12.0,6.0,13.0,,,,10.0,9.666666666666666,9.333333333333334,9.666666666666666,9.666666666666666,6.333333333333333,,,
M10935,18.416666666666668,221,7,1,0,"['Roumain', 'Français', 'anglais', 'allemand', 'italien', 'espagnol', 'flamand']",1.5,1.0,8.0,11.0,12.0,10.0,17.0,,,10.0,9.0,9.333333333333334,4.333333333333333,2.0,1.3333333333333333,0.3333333333333333,,
M10937,21.666666666666668,260,4,1,0,"['suisse allemand', 'français', 'allemand', 'anglais']",3.0,2.0,12.0,10.0,,,,,,9.333333333333334,4.666666666666667,7.0,5.666666666666667,,,,,
M10940,20.75,249,7,1,0,"['Thaïlandais', 'Français', 'Italien', 'Allemand', 'Anglais', 'Latin ', 'Grec Ancien']",0.0,8.0,12.0,8.0,0.1,15.0,12.0,,,10.0,5.0,7.666666666666667,4.0,0.0,0.0,0.0,,
M10912,20.166666666666668,242,2,1,0,"['Portugais', 'Français']",5.7,0.0,,,,,,,,10.0,8.333333333333334,,,,,,,
M10921,34.916666666666664,419,3,1,0,"['russe', 'anglais', 'francais']",1.0,7.0,12.0,,,,,,,10.0,8.0,5.333333333333333,,,,,,
M10918,22.166666666666668,266,4,1,0,"['Russe', 'Ukrainienne', 'Anglais', 'Français']",1.0,2.0,4.0,12.0,,,,,,10.0,9.666666666666666,7.333333333333333,4.333333333333333,,,,,
M10925,22.666666666666668,272,4,1,0,"['Turc', 'Anglais', 'Français', 'Allemand']",6.0,0.0,11.5,11.5,,,,,,9.0,8.666666666666666,8.0,5.666666666666667,,,,,
M10975,21.416666666666668,257,5,1,0,"['Turc', 'Français', 'Kurde', 'Anglais', 'Allemand']",1.0,3.0,6.0,8.0,,,,,,9.666666666666666,9.666666666666666,8.333333333333334,5.333333333333333,0.6666666666666666,,,,
M10916,19.75,237,5,1,0,"['Russe', 'Néerlandais ', 'Anglais', 'Francais ', 'Allemand ']",7.5,0.5,6.5,10.5,0.8,,,,,10.0,9.333333333333334,8.333333333333334,8.0,1.6666666666666667,,,,
M10972,20.583333333333332,247,4,1,0,"['dialecte marocain', 'français ', 'arabe classique ', 'anglais']",0.0,4.0,3.0,3.0,,,,,,9.333333333333334,9.666666666666666,9.0,5.666666666666667,,,,,
