ID,AGE_YEARS,AGE_MONTHS,nlang,multilingual,FR_native,all_languages,L1_AoA,L2_AoA,L3_AoA,L4_AoA,L5_AoA,L6_AoA,L7_AoA,L8_AoA,L9_AoA,L1_proficiency,L2_proficiency,L3_proficiency,L4_proficiency,L5_proficiency,L6_proficiency,L7_proficiency,L8_proficiency,L9_proficiency
M10910,33.25,399,2,1,0,"['Portugais ', 'Français ']",0.45,11.65,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,
M10943,24.666666666666668,296,5,1,1,"['Francais', 'Anglais', 'Allemand', 'Suisse Allemand ', 'Espagnol']",0.0,6.0,15.0,8.0,8.0,,,,,10.0,9.0,6.666666666666667,6.666666666666667,5.5,,,,
M10956,20.5,246,3,1,1,"['Français', 'Allemand', 'Anglais']",3.55,13.0,7.0,,,,,,,9.666666666666666,9.333333333333334,4.666666666666667,,,,,,
M10924,21.25,255,9,1,0,"['thaïe ', 'laotien', 'anglais ', 'français', 'allemand', 'latin', 'italien ', 'suisse allemand ', 'polonais']",12.0,2.25,6.5,16.0,12.0,8.0,19.0,18.0,13.0,10.0,8.666666666666666,6.0,7.666666666666667,7.0,4.666666666666667,1.0,2.0,2.3333333333333335
M10938,23.166666666666668,278,4,1,1,"['Français', 'Suisse-allemand', 'Allemand', 'Anglais']",2.0,15.0,1.0,3.0,,,,,,10.0,6.0,2.0,2.3333333333333335,,,,,
M10919,29.416666666666668,353,3,1,0,"['Russe', 'Anglais (British)', 'Français (de France)']",0.0,24.1,12.0,,,,,,,10.0,8.333333333333334,8.333333333333334,,,,,,
M10930,21.083333333333332,253,6,1,0,"['Portugais', 'Français ', 'Allemand ', 'Italien', 'Anglais', 'Espagnol']",3.5,1.5,6.0,9.5,4.0,4.5,,,,8.333333333333334,7.0,6.333333333333333,5.0,5.333333333333333,2.0,,,
M10965,18.833333333333332,226,5,1,1,"['Français ', 'Anglais ', 'Espagnol ', 'Allemand ', 'Italien ']",2.25,8.0,13.0,17.0,15.0,,,,,8.0,4.333333333333333,5.666666666666667,2.3333333333333335,1.0,,,,
M10908,21.833333333333332,262,4,1,1,"['Français ', 'Espagnol', 'Allemand', 'Anglais']",3.0,14.5,13.5,7.0,,,,,,10.0,7.0,3.0,1.0,,,,,
M10914,23.25,279,5,1,0,"['Roumain', 'Anglais', 'Français', 'Allemand', 'Italien']",0.25,17.0,12.0,7.0,11.0,,,,,9.0,7.0,7.666666666666667,2.3333333333333335,2.0,,,,
M16450,21.083333333333332,253,2,1,1,"['français', 'créole']",20.0,7.5,,,,,,,,9.333333333333334,3.0,,,,,,,
M10928,20.666666666666668,248,2,1,0,"['Portugais ', 'Français']",3.5,1.5,,,,,,,,10.0,7.0,,,,,,,
